operator,Server Nickname,Location,CA,func/events,description
Tellor operator,M1 - tellormaster-control,EC2,https://etherscan.io/address/0x88dF592F8eb5D7Bd38bFeF7dEb0fBc02cf3778a0,"Functions: changeTellorContract(address); changeDeity(address); changeOwner(address)
Events: NewTellorAddress(address); NewProposedOracleAddress(address,uint256); NewOracleAddress(address,uint256)","Alerts when a successful implementation, owner, deity, or oracle change does not exactly match a valid approved-change record and the required post-state."
Tellor operator,M2 - bridge-control,EC2,"https://etherscan.io/address/0x5589e306b1920F009979a50B88caE32aecD471E4
https://etherscan.io/address/0x6ec401744008f4B018Ed9A36f76e6629799Ee50E","Events: BridgeStateUpdated(uint8); PauseProposed(uint256,address,uint256); PauseApproved(uint256,address,uint256); DataBridgeUpdated(address); RoleUpdateProposed(bytes32,address,uint256); RoleUpdateAccepted(bytes32,address); MintToOracleFailed()","Alerts when a bridge pauses; a role or DataBridge change is unapproved or unenrolled; a DataBridge post-state differs; or a new MintToOracleFailed failure period starts."
Tellor operator,M3 - databridge-integrity,EC2,https://etherscan.io/address/0xFfa3393BE1E4b442fff6cD0df0794B0031e9CF65,"EVM events: ValidatorSetUpdated(uint256,uint256,bytes32); GuardianResetValidatorSet(uint256,uint256,bytes32)
State reads: lastValidatorSetCheckpoint(); powerThreshold(); validatorTimestamp(); unbondingPeriod()
Layer: validator checkpoint endpoints","Alerts on every guardian reset, a persistent Ethereum-to-Layer validator mismatch, a non-increasing validator timestamp, or the exact unusable stale-state boundary."
Tellor operator,M4 - bridge-ledger-integrity,EC2,"https://etherscan.io/address/0x5589e306b1920F009979a50B88caE32aecD471E4
https://etherscan.io/address/0x6ec401744008f4B018Ed9A36f76e6629799Ee50E
https://etherscan.io/address/0x88dF592F8eb5D7Bd38bFeF7dEb0fBc02cf3778a0","EVM events: Deposit(...); Withdraw(...); ExtraWithdrawClaimed(address,uint256); ExtraWithdrawClaimed(uint256,address,uint256); TokensToClaimUpdated(...); ExtraWithdrawReverified(...); Transfer(address,address,uint256)
Layer events: deposit_claimed; tokens_withdrawn; aggregate_report","Alerts when a finalized deposit, withdrawal, claim, or bridge token outflow cannot be reconciled exactly across Ethereum and Tellor Layer. A delay or an absence alone does not cause an alert."
Tellor operator,M5 - tellorflex-value-integrity,EC2,https://etherscan.io/address/0x8cFc184c877154a8F9ffE0fe75649dbe5e2DBEbf,"Event: NewReport(bytes32,uint256,bytes,uint256,bytes,address)
Replay: historical eth_call for supported EVMCall queries",Alerts when a known report is structurally non-canonical or an exact finalized historical EVMCall replay proves that successful non-empty return bytes differ.
Tellor operator,M6 - databank-value-integrity,EC2,https://etherscan.io/address/0x5526e7e7CF982f5D3045DAf18b7e813E4b7a8FE5,"Event: OracleUpdated(bytes32,(bytes32,(bytes,uint256,uint256,uint256,uint256,uint256),uint256))
Reads: getAggregateValueCount(bytes32); getAggregateByIndex(bytes32,uint256)
Layer: retrieve_data","Alerts when an accepted update differs from its indexed query ID, append count, stored record, or fixed-query decoder. It reads Tellor Layer data once. If that read differs, it reads the data again. It alerts for a Layer-data mismatch only if the second read still differs."
Tellor operator,M7 - governance-dispute,EC2,"https://etherscan.io/address/0xB30b1B98d8276b80bC4f5aF9f9170ef3220EC27D
https://etherscan.io/address/0x8cFc184c877154a8F9ffE0fe75649dbe5e2DBEbf","EVM events: NewDispute(uint256,bytes32,uint256,address); ValueRemoved(bytes32,uint256)
Layer event: new_dispute","Alerts once when an Ethereum NewDispute, an isolated ValueRemoved fallback, or a Tellor Layer new_dispute opens for a query and report timestamp."
Tellor operator,M8 - issuance-integrity,EC2,https://etherscan.io/address/0x88dF592F8eb5D7Bd38bFeF7dEb0fBc02cf3778a0,"EVM event: Transfer(address,address,uint256) from the zero address
Trace functions: mintToOracle(); mintToTeam(); migrate()
Layer events: mint_coins; inflationary_rewards_distributed","Alerts when an Ethereum mint path, recipient, amount, log, supply delta, or state transition is invalid. For Tellor Layer, alerts when a mint/reward event pair is invalid, missing, or unexpected. This includes events that appear before initialization or when the formula expects no positive pair."
Tellor operator,M9 - tellorflex-eth-usd-freshness,EC2,https://etherscan.io/address/0x8cFc184c877154a8F9ffE0fe75649dbe5e2DBEbf,"Scheduled function: getDataBefore(bytes32,uint256) for the ETH/USD query","Alerts when two providers agree at a 12-confirmed block that no undisputed ETH/USD report exists or its age is greater than 14,400 seconds."
Tellor operator,M10 - tellorflex-ampl-usd-deadline,EC2,https://etherscan.io/address/0x8cFc184c877154a8F9ffE0fe75649dbe5e2DBEbf,"Scheduled function: getDataBefore(bytes32,uint256) for the AMPL/USD query",Alerts when two providers agree that no confirmed undisputed AMPL/USD report exists in the inclusive daily 00:00:00-00:30:00 UTC window.
Tellor operator,M11 - tellorflex-uspce-deadline,EC2,https://etherscan.io/address/0x8cFc184c877154a8F9ffE0fe75649dbe5e2DBEbf,"Scheduled function: getDataBefore(bytes32,uint256) for the USPCE query","Alerts when two providers agree that no confirmed undisputed USPCE report exists from month start through 00:00:00 UTC on the final calendar day, inclusive."
